iter	Passed	Remaining
0	165	16349
1	269	13188
2	379	12261
3	488	11715
4	617	11730
5	730	11447
6	852	11329
7	959	11035
8	1068	10799
9	1177	10598
10	1284	10390
11	1400	10269
12	1521	10184
13	1626	9992
14	1735	9833
15	1843	9679
16	1951	9528
17	2059	9380
18	2165	9230
19	2274	9097
20	2384	8969
21	2490	8830
22	2598	8699
23	2710	8582
24	2819	8458
25	2926	8328
26	3044	8231
27	3153	8108
28	3259	7980
29	3373	7871
30	3484	7755
31	3691	7843
32	3864	7845
33	3979	7725
34	4085	7588
35	4193	7455
36	4301	7323
37	4407	7191
38	4616	7220
39	4851	7276
40	5085	7318
41	5308	7331
42	5525	7324
43	5696	7249
44	5834	7131
45	5969	7007
46	6082	6858
47	6186	6701
48	6293	6550
49	6401	6401
50	6551	6294
51	6771	6250
52	6974	6185
53	7161	6100
54	7385	6043
55	7549	5932
56	7788	5875
57	8034	5817
58	8279	5753
59	8479	5653
60	8969	5734
61	9224	5653
62	9425	5535
63	9668	5438
64	9882	5321
65	10122	5214
66	10346	5095
67	10572	4975
68	10710	4812
69	10831	4641
70	10951	4473
71	11120	4324
72	11277	4171
73	11438	4018
74	11665	3888
75	11863	3746
76	12026	3592
77	12136	3423
78	12240	3253
79	12345	3086
80	12451	2920
81	12657	2778
82	12906	2643
83	13047	2485
84	13173	2324
85	13308	2166
86	13440	2008
87	13636	1859
88	13849	1711
89	13974	1552
90	14232	1407
91	14479	1259
92	14656	1103
93	14799	944
94	14920	785
95	15081	628
96	15242	471
97	15420	314
98	15570	157
99	15702	0
