window_id,source_type,user_id,emotion_code,emotion_label,window_keystrokes,valid_dwell_count,valid_dd_count,valid_ud_count,dwell_mean_ms,dwell_std_ms,dwell_median_ms,dwell_min_ms,dwell_max_ms,dd_mean_ms,dd_std_ms,dd_median_ms,dd_min_ms,dd_max_ms,ud_mean_ms,ud_std_ms,ud_median_ms,ud_min_ms,ud_max_ms,typing_speed_kps,pause_ratio_500,pause_ratio_1000,pause_ratio_2000,correction_ratio,space_ratio,rhythm_cv,overlap_ratio,z_rhythm_cv,z_pause_ratio_1000,z_correction_ratio,z_dd_std_ms,distraction_index,behaviour_proxy
0,fixed_text,100,N,Neutral,40,34,40,34,95.1470588235294,21.784248344522446,92.0,51.0,151.0,718.45,1139.6588322152177,308.5,36.0,5309.0,726.6470588235294,1204.687759932208,226.5,45.0,5211.0,1.3918853086505671,0.325,0.2,0.125,0.025,0.175,1.5862743854342232,0.0,2.219621914144364,3.7771482530689333,0.0,5.262506847849583,2.6993881730486446,distracted
1,fixed_text,100,N,Neutral,40,5,40,5,175.2,141.62167913140982,124.0,94.0,427.0,151.525,376.6055535287789,37.0,12.0,1848.0,774.2,805.8292002651679,965.0,-415.0,1754.0,6.599571027883187,0.1,0.075,0.0,0.0,0.025,2.48543510000844,0.2,5.036389180298823,0.9948738702279778,-0.6744907594765952,0.5709486345705261,2.011942517463241,distracted
2,fixed_text,100,N,Neutral,40,40,40,40,100.7,27.467649969951832,97.5,62.0,212.0,788.125,806.9422242051337,396.5,161.0,3516.0,687.425,804.4302933100367,281.0,84.0,3393.0,1.26883425852498,0.45,0.275,0.1,0.0,0.2,1.023875938721819,0.0,0.45781725613530033,5.446512882773507,-0.6744907594765952,3.2168314296256053,2.141816467027929,distracted
3,fixed_text,100,N,Neutral,40,40,40,40,87.8,20.962971016679717,87.0,49.0,137.0,656.8,772.9579946791815,333.5,144.0,3991.0,569.0,767.7396727590708,250.0,73.0,3881.0,1.5225334957369063,0.4,0.15,0.05,0.05,0.2,1.1768544376966832,0.0,0.9370472996118873,2.664238499932551,0.6744907594765952,3.0078827289150754,1.713318666076506,distracted
4,fixed_text,100,N,Neutral,40,40,40,40,89.125,15.702665950363905,88.0,51.0,122.0,696.75,787.6161615588636,353.5,134.0,3242.0,607.625,786.2555429668868,259.5,61.0,3147.0,1.4352350197344814,0.375,0.2,0.1,0.0,0.175,1.1304142971781321,0.0,0.791566001854999,3.7771482530689333,-0.6744907594765952,3.09800702971668,1.7399954791321126,distracted
5,fixed_text,100,N,Neutral,40,40,40,40,90.4,19.647926751721812,85.5,60.0,149.0,776.575,1513.7662131508032,329.5,133.0,9531.0,686.175,1511.4782013661752,253.0,52.0,9425.0,1.2877056304928693,0.375,0.125,0.075,0.05,0.2,1.9492852759241581,0.0,3.3568126043246247,2.10778362336436,0.6744907594765952,7.562669372146795,3.0765180562402645,distracted
6,fixed_text,100,N,Neutral,40,40,40,40,101.75,29.6714919728927,99.5,61.0,220.0,994.8,1659.918320511353,391.5,149.0,8239.0,893.05,1664.2349894170595,293.0,66.0,8153.0,1.0052271813429836,0.425,0.175,0.125,0.075,0.025,1.6685950145872064,0.0,2.4775046816729316,3.220693376500742,1.3489815189531902,8.461271263820464,3.372321644899456,distracted
7,fixed_text,100,N,Neutral,40,40,39,39,138.05,69.68682691982643,123.5,83.0,437.0,386.46153846153845,526.1160991621249,248.0,107.0,3064.0,248.43589743589743,535.6169484991752,100.0,-176.0,2935.0,2.587579617834395,0.1282051282051282,0.05128205128205128,0.02564102564102564,0.0,0.2,1.3613672948064537,0.10256410256410256,1.5150638517891544,0.4669551411761043,-0.6744907594765952,1.4901995544347983,0.7589906717489359,distracted
8,fixed_text,100,N,Neutral,40,24,40,24,116.5,22.315913604421397,113.5,75.0,168.0,235.4,317.4583194931023,200.0,29.0,1944.0,237.08333333333334,358.4656816593971,162.5,27.0,1850.0,4.248088360237893,0.075,0.025,0.0,0.025,0.075,1.34859099189933,0.0,1.4750400037406979,-0.11803588290840415,0.0,0.20728766962387385,0.511946386880304,focused
9,fixed_text,100,N,Neutral,40,34,40,34,117.52941176470588,51.67159426792392,117.0,16.0,369.0,299.575,306.55203159810094,220.0,29.0,1473.0,229.7058823529412,327.74227951628575,127.0,-225.0,1457.0,3.3380622548610535,0.125,0.05,0.0,0.025,0.175,1.0232897658285938,0.058823529411764705,0.4559809741545803,0.4384189936597869,0.0,0.14023142862552304,0.31215375334586765,focused
10,fixed_text,100,N,Neutral,40,40,40,40,107.525,26.06597890757714,104.0,62.0,226.0,198.175,61.17729070035627,193.5,62.0,337.0,90.65,70.72103012940424,84.5,-98.0,256.0,5.046045162104201,0.0,0.0,0.0,0.0,0.2,0.30870337176917506,0.075,-1.7825771957039223,-0.6744907594765952,-0.6744907594765952,-1.368431089635004,-1.166412061679921,focused
11,fixed_text,100,N,Neutral,40,40,40,40,119.45,37.25859047391037,115.5,71.0,276.0,215.85,68.91709995833158,206.5,128.0,411.0,96.4,90.43280548391887,99.0,-148.0,314.0,4.63284688441047,0.0,0.0,0.0,0.025,0.15,0.3192823718245614,0.125,-1.749436756423533,-0.6744907594765952,0.0,-1.3208436318417864,-1.012776637367483,focused
12,fixed_text,100,N,Neutral,40,40,39,39,103.375,27.68567851564767,108.0,41.0,150.0,314.5128205128205,414.002470866951,206.0,99.0,2613.0,212.23076923076923,419.0335661431622,104.0,-36.0,2550.0,3.179520626120985,0.10256410256410256,0.02564102564102564,0.02564102564102564,0.0,0.15,1.316329395386523,0.05128205128205128,1.3739753024718158,-0.10376780915024546,-0.6744907594765952,0.8008799114418452,0.4349948479410196,focused
