stage,run_type,repetition,input_index,session_id,label,latency_ns,latency_ms,child_pid
Cold application/model initialisation,cold_fresh_process,1,,fresh_process,,10723914200,10723.9142,16652.0
Cold application/model initialisation,cold_fresh_process,2,,fresh_process,,7086472700,7086.4727,33144.0
Cold application/model initialisation,cold_fresh_process,3,,fresh_process,,7524007800,7524.0078,4496.0
Cold application/model initialisation,cold_fresh_process,4,,fresh_process,,8209426800,8209.4268,28300.0
Cold application/model initialisation,cold_fresh_process,5,,fresh_process,,8399286100,8399.2861,29528.0
Keystroke processing,warm,1,0.0,distracted_20260612_182215_e5cc9805,distracted,688300,0.6883,
Keystroke processing,warm,2,1.0,distracted_20260612_182451_ec3a7775,distracted,817900,0.8179,
Keystroke processing,warm,3,2.0,distracted_20260612_182647_3cd34247,distracted,931000,0.931,
Keystroke processing,warm,4,3.0,distracted_20260612_183036_e039e44a,distracted,457400,0.4574,
Keystroke processing,warm,5,4.0,distracted_20260612_183225_53210ca7,distracted,469000,0.469,
Keystroke processing,warm,6,5.0,fatigued_20260610_204849_ca81fca6,fatigued,746300,0.7463,
Keystroke processing,warm,7,6.0,fatigued_20260610_205607_8887b0f9,fatigued,790600,0.7906,
Keystroke processing,warm,8,7.0,fatigued_20260610_205905_8cfa4763,fatigued,380900,0.3809,
Keystroke processing,warm,9,8.0,fatigued_20260610_210145_693e819a,fatigued,270900,0.2709,
Keystroke processing,warm,10,9.0,fatigued_20260610_210404_b81457e0,fatigued,242200,0.2422,
Keystroke processing,warm,11,10.0,focused_20260611_203335_5f244a13,focused,295800,0.2958,
Keystroke processing,warm,12,11.0,focused_20260611_203933_8705813b,focused,234800,0.2348,
Keystroke processing,warm,13,12.0,focused_20260611_204136_cbee82eb,focused,783200,0.7832,
Keystroke processing,warm,14,13.0,focused_20260611_204247_e04a8459,focused,266000,0.266,
Keystroke processing,warm,15,14.0,focused_20260611_204500_f993608f,focused,842600,0.8426,
Keystroke processing,warm,16,15.0,overloaded_20260612_223559_d6295534,overloaded,1060300,1.0603,
Keystroke processing,warm,17,16.0,overloaded_20260613_033619_282ca705,overloaded,1068500,1.0685,
Keystroke processing,warm,18,17.0,overloaded_20260613_034837_ef039e72,overloaded,1085300,1.0853,
Keystroke processing,warm,19,18.0,overloaded_20260613_035141_5235db73,overloaded,372200,0.3722,
Keystroke processing,warm,20,19.0,overloaded_20260613_035456_84e4a548,overloaded,284300,0.2843,
Keystroke processing,warm,21,0.0,distracted_20260612_182215_e5cc9805,distracted,259300,0.2593,
Keystroke processing,warm,22,1.0,distracted_20260612_182451_ec3a7775,distracted,812300,0.8123,
Keystroke processing,warm,23,2.0,distracted_20260612_182647_3cd34247,distracted,394200,0.3942,
Keystroke processing,warm,24,3.0,distracted_20260612_183036_e039e44a,distracted,245200,0.2452,
Keystroke processing,warm,25,4.0,distracted_20260612_183225_53210ca7,distracted,228000,0.228,
Keystroke processing,warm,26,5.0,fatigued_20260610_204849_ca81fca6,fatigued,224100,0.2241,
Keystroke processing,warm,27,6.0,fatigued_20260610_205607_8887b0f9,fatigued,204800,0.2048,
Keystroke processing,warm,28,7.0,fatigued_20260610_205905_8cfa4763,fatigued,212600,0.2126,
Keystroke processing,warm,29,8.0,fatigued_20260610_210145_693e819a,fatigued,229500,0.2295,
Keystroke processing,warm,30,9.0,fatigued_20260610_210404_b81457e0,fatigued,498300,0.4983,
Text feature extraction,warm,1,0.0,distracted_20260612_182215_e5cc9805,distracted,33581400,33.5814,
Text feature extraction,warm,2,1.0,distracted_20260612_182451_ec3a7775,distracted,61446600,61.4466,
Text feature extraction,warm,3,2.0,distracted_20260612_182647_3cd34247,distracted,29715100,29.7151,
Text feature extraction,warm,4,3.0,distracted_20260612_183036_e039e44a,distracted,36985700,36.9857,
Text feature extraction,warm,5,4.0,distracted_20260612_183225_53210ca7,distracted,36673300,36.6733,
Text feature extraction,warm,6,5.0,fatigued_20260610_204849_ca81fca6,fatigued,35369100,35.3691,
Text feature extraction,warm,7,6.0,fatigued_20260610_205607_8887b0f9,fatigued,35916700,35.9167,
Text feature extraction,warm,8,7.0,fatigued_20260610_205905_8cfa4763,fatigued,36813900,36.8139,
Text feature extraction,warm,9,8.0,fatigued_20260610_210145_693e819a,fatigued,35736000,35.736,
Text feature extraction,warm,10,9.0,fatigued_20260610_210404_b81457e0,fatigued,36614900,36.6149,
Text feature extraction,warm,11,10.0,focused_20260611_203335_5f244a13,focused,35321000,35.321,
Text feature extraction,warm,12,11.0,focused_20260611_203933_8705813b,focused,42005000,42.005,
Text feature extraction,warm,13,12.0,focused_20260611_204136_cbee82eb,focused,33184000,33.184,
Text feature extraction,warm,14,13.0,focused_20260611_204247_e04a8459,focused,33130200,33.1302,
Text feature extraction,warm,15,14.0,focused_20260611_204500_f993608f,focused,42551100,42.5511,
Text feature extraction,warm,16,15.0,overloaded_20260612_223559_d6295534,overloaded,57264700,57.2647,
Text feature extraction,warm,17,16.0,overloaded_20260613_033619_282ca705,overloaded,59360800,59.3608,
Text feature extraction,warm,18,17.0,overloaded_20260613_034837_ef039e72,overloaded,52239200,52.2392,
Text feature extraction,warm,19,18.0,overloaded_20260613_035141_5235db73,overloaded,53975400,53.9754,
Text feature extraction,warm,20,19.0,overloaded_20260613_035456_84e4a548,overloaded,63089300,63.0893,
Text feature extraction,warm,21,0.0,distracted_20260612_182215_e5cc9805,distracted,55918900,55.9189,
Text feature extraction,warm,22,1.0,distracted_20260612_182451_ec3a7775,distracted,44920200,44.9202,
Text feature extraction,warm,23,2.0,distracted_20260612_182647_3cd34247,distracted,34681400,34.6814,
Text feature extraction,warm,24,3.0,distracted_20260612_183036_e039e44a,distracted,39498700,39.4987,
Text feature extraction,warm,25,4.0,distracted_20260612_183225_53210ca7,distracted,37977000,37.977,
Text feature extraction,warm,26,5.0,fatigued_20260610_204849_ca81fca6,fatigued,38344700,38.3447,
Text feature extraction,warm,27,6.0,fatigued_20260610_205607_8887b0f9,fatigued,37497900,37.4979,
Text feature extraction,warm,28,7.0,fatigued_20260610_205905_8cfa4763,fatigued,37024000,37.024,
Text feature extraction,warm,29,8.0,fatigued_20260610_210145_693e819a,fatigued,37386600,37.3866,
Text feature extraction,warm,30,9.0,fatigued_20260610_210404_b81457e0,fatigued,33623200,33.6232,
Audio feature extraction,warm,1,0.0,distracted_20260612_182215_e5cc9805,distracted,175296000,175.296,
Audio feature extraction,warm,2,1.0,distracted_20260612_182451_ec3a7775,distracted,324324100,324.3241,
Audio feature extraction,warm,3,2.0,distracted_20260612_182647_3cd34247,distracted,1035669100,1035.6691,
Audio feature extraction,warm,4,3.0,distracted_20260612_183036_e039e44a,distracted,816025200,816.0252,
Audio feature extraction,warm,5,4.0,distracted_20260612_183225_53210ca7,distracted,1498520500,1498.5205,
Audio feature extraction,warm,6,5.0,fatigued_20260610_204849_ca81fca6,fatigued,2167886000,2167.886,
Audio feature extraction,warm,7,6.0,fatigued_20260610_205607_8887b0f9,fatigued,2188815400,2188.8154,
Audio feature extraction,warm,8,7.0,fatigued_20260610_205905_8cfa4763,fatigued,2167344300,2167.3443,
Audio feature extraction,warm,9,8.0,fatigued_20260610_210145_693e819a,fatigued,113215400,113.2154,
Audio feature extraction,warm,10,9.0,fatigued_20260610_210404_b81457e0,fatigued,1025438900,1025.4389,
Audio feature extraction,warm,11,10.0,focused_20260611_203335_5f244a13,focused,2206869400,2206.8694,
Audio feature extraction,warm,12,11.0,focused_20260611_203933_8705813b,focused,172883700,172.8837,
Audio feature extraction,warm,13,12.0,focused_20260611_204136_cbee82eb,focused,128257100,128.2571,
Audio feature extraction,warm,14,13.0,focused_20260611_204247_e04a8459,focused,261627600,261.6276,
Audio feature extraction,warm,15,14.0,focused_20260611_204500_f993608f,focused,226290700,226.2907,
Audio feature extraction,warm,16,15.0,overloaded_20260612_223559_d6295534,overloaded,92157200,92.1572,
Audio feature extraction,warm,17,16.0,overloaded_20260613_033619_282ca705,overloaded,182156400,182.1564,
Audio feature extraction,warm,18,17.0,overloaded_20260613_034837_ef039e72,overloaded,127689400,127.6894,
Audio feature extraction,warm,19,18.0,overloaded_20260613_035141_5235db73,overloaded,201137400,201.1374,
Audio feature extraction,warm,20,19.0,overloaded_20260613_035456_84e4a548,overloaded,605625000,605.625,
