condition,fold,input_dimensions,masked_groups,masked_feature_count,train_samples,test_samples,accuracy,macro_f1,baseline_accuracy_same_fold,baseline_macro_f1_same_fold,delta_accuracy,delta_macro_f1,predicted_focused,predicted_distracted,predicted_fatigued,predicted_overloaded,dominant_predicted_class,dominant_predicted_proportion,unique_predicted_classes,class_collapse,severe_prediction_imbalance
All modalities available,1,2373,,0,247,62,1.0,1.0,1.0,1.0,0.0,0.0,16,16,15,15,focused,0.25806451612903225,4,False,False
All modalities available,2,2373,,0,247,62,1.0,1.0,1.0,1.0,0.0,0.0,15,16,15,16,distracted,0.25806451612903225,4,False,False
All modalities available,3,2373,,0,247,62,1.0,1.0,1.0,1.0,0.0,0.0,15,15,16,16,fatigued,0.25806451612903225,4,False,False
All modalities available,4,2373,,0,247,62,1.0,1.0,1.0,1.0,0.0,0.0,15,15,16,16,fatigued,0.25806451612903225,4,False,False
All modalities available,5,2373,,0,248,61,1.0,1.0,1.0,1.0,0.0,0.0,16,15,15,15,focused,0.26229508196721313,4,False,False
Keystroke unavailable,1,2373,keystroke,22,247,62,0.9838709677419355,0.9833147942157954,1.0,1.0,0.016129032258064502,0.016685205784204626,16,16,14,16,focused,0.25806451612903225,4,False,False
Keystroke unavailable,2,2373,keystroke,22,247,62,1.0,1.0,1.0,1.0,0.0,0.0,15,16,15,16,distracted,0.25806451612903225,4,False,False
Keystroke unavailable,3,2373,keystroke,22,247,62,0.9516129032258065,0.9494949494949495,1.0,1.0,0.048387096774193505,0.0505050505050505,18,12,16,16,focused,0.2903225806451613,4,False,False
Keystroke unavailable,4,2373,keystroke,22,247,62,0.967741935483871,0.9676897942157954,1.0,1.0,0.032258064516129004,0.032310205784204626,17,14,15,16,focused,0.27419354838709675,4,False,False
Keystroke unavailable,5,2373,keystroke,22,248,61,0.9672131147540983,0.968052738336714,1.0,1.0,0.032786885245901676,0.031947261663285986,18,14,14,15,focused,0.29508196721311475,4,False,False
Text unavailable,1,2373,text,768,247,62,1.0,1.0,1.0,1.0,0.0,0.0,16,16,15,15,focused,0.25806451612903225,4,False,False
Text unavailable,2,2373,text,768,247,62,1.0,1.0,1.0,1.0,0.0,0.0,15,16,15,16,distracted,0.25806451612903225,4,False,False
Text unavailable,3,2373,text,768,247,62,1.0,1.0,1.0,1.0,0.0,0.0,15,15,16,16,fatigued,0.25806451612903225,4,False,False
Text unavailable,4,2373,text,768,247,62,1.0,1.0,1.0,1.0,0.0,0.0,15,15,16,16,fatigued,0.25806451612903225,4,False,False
Text unavailable,5,2373,text,768,248,61,1.0,1.0,1.0,1.0,0.0,0.0,16,15,15,15,focused,0.26229508196721313,4,False,False
Audio unavailable,1,2373,audio,809,247,62,1.0,1.0,1.0,1.0,0.0,0.0,16,16,15,15,focused,0.25806451612903225,4,False,False
Audio unavailable,2,2373,audio,809,247,62,1.0,1.0,1.0,1.0,0.0,0.0,15,16,15,16,distracted,0.25806451612903225,4,False,False
Audio unavailable,3,2373,audio,809,247,62,1.0,1.0,1.0,1.0,0.0,0.0,15,15,16,16,fatigued,0.25806451612903225,4,False,False
Audio unavailable,4,2373,audio,809,247,62,1.0,1.0,1.0,1.0,0.0,0.0,15,15,16,16,fatigued,0.25806451612903225,4,False,False
Audio unavailable,5,2373,audio,809,248,61,1.0,1.0,1.0,1.0,0.0,0.0,16,15,15,15,focused,0.26229508196721313,4,False,False
Vision unavailable,1,2373,vision+derived,774,247,62,0.8225806451612904,0.7913096695226438,1.0,1.0,0.17741935483870963,0.2086903304773562,16,27,15,4,distracted,0.43548387096774194,4,False,False
Vision unavailable,2,2373,vision+derived,774,247,62,0.9516129032258065,0.9527093596059113,1.0,1.0,0.048387096774193505,0.0472906403940887,15,19,15,13,distracted,0.3064516129032258,4,False,False
Vision unavailable,3,2373,vision+derived,774,247,62,0.9838709677419355,0.9838709677419355,1.0,1.0,0.016129032258064502,0.016129032258064502,15,16,16,15,distracted,0.25806451612903225,4,False,False
Vision unavailable,4,2373,vision+derived,774,247,62,0.9354838709677419,0.9348739495798319,1.0,1.0,0.06451612903225812,0.06512605042016806,15,19,16,12,distracted,0.3064516129032258,4,False,False
Vision unavailable,5,2373,vision+derived,774,248,61,0.9344262295081968,0.9321266968325792,1.0,1.0,0.06557377049180324,0.0678733031674208,16,19,15,11,distracted,0.3114754098360656,4,False,False
