feature,importance
delay_min,0.1043722575826583
hold_mean,0.10064770461235262
typing_speed_kps,0.09331883091239371
delay_mean,0.09232399229054486
typing_speed_wpm,0.07753678084947248
total_duration_sec,0.07584709429734285
delay_max,0.07040388577373992
burstiness_proxy,0.0607120543637039
fits_starts_index,0.05970641082576253
pause_ratio_1000,0.05047945403399172
pause_count_1000,0.04698616193602405
delay_std,0.03752269794244363
rhythm_consistency,0.037109244627791235
correction_ratio,0.030003271363868086
correction_count,0.024713324863354043
hold_std,0.024563556440371927
keydown_count,0.005154359934109046
pause_ratio_2000,0.004528759051387234
word_count,0.0026505257495204604
pause_count_2000,0.001419632549167481
pause_count_5000,2.898817764936359e-18
mental_block_ratio_5000,1.5414341177380829e-19
