analysis,experiment,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,multiclass_brier_score,train_rows,test_rows,train_participants,test_participants,train_sessions,test_sessions,fit_runtime_seconds,inference_runtime_seconds,inference_runtime_per_sample_ms
three_class_primary,A_emosurv_baseline,0.6050420168067226,0.6182901558225112,0.6302938196555218,0.6182901558225112,0.5833557184338104,0.6401651800057679,0.901473926923536,0.5242215756124511,453,119,44,12,126,31,0.5614343000343069,0.1257315999828279,1.0565680670825874
three_class_primary,B_sensefuzeai_only,0.9775280898876404,0.9824561403508772,0.9761904761904764,0.9824561403508772,0.9786453119786452,0.9776405619102247,0.0676284784234642,0.0379334864633833,352,89,1,1,185,47,0.5875651000533253,0.1060038999421522,1.1910550555298
three_class_primary,C_augmented_to_emosurv_test,0.5798319327731093,0.5988141855268688,0.5842142353770261,0.5988141855268688,0.558588365039978,0.6031549096065226,0.9723775679304564,0.5488199269720719,805,119,45,12,311,31,0.6716165000107139,0.1179005000740289,0.9907605048237728
three_class_primary,D_emosurv_to_sensefuzeai,0.4157303370786517,0.3888798920377868,0.5708812260536399,0.3888798920377868,0.4052777777777778,0.412069288389513,1.0571983557029336,0.6894857520505421,453,89,44,1,126,47,0.5643418999388814,0.1021970000583678,1.1482808995322231
three_class_primary,E_augmented_to_sensefuzeai_test,0.9775280898876404,0.9824561403508772,0.9761904761904764,0.9824561403508772,0.9786453119786452,0.9776405619102247,0.0793102606922917,0.0327910139434224,805,89,45,1,311,47,0.6655034000286832,0.1049434999004006,1.1791404483191084
three_class_primary,F_sensefuzeai_to_emosurv,0.5294117647058824,0.3966652655177245,0.3432156340217633,0.3966652655177245,0.3662337662337662,0.4815671723234748,2.573553722560004,0.7349465024917247,352,119,1,12,185,31,0.4939106000820175,0.0811982000013813,0.6823378151376583
four_class_exploratory,A_emosurv_baseline,0.7288888888888889,0.526431296032625,0.6938463464856142,0.526431296032625,0.5462031248115811,0.6905991443899789,0.7648873402282315,0.4099794940277599,1387,450,66,17,301,83,0.752330300048925,0.167250599944964,0.3716679998776979
four_class_exploratory,B_sensefuzeai_only,0.95,0.955448717948718,0.9444805194805196,0.955448717948718,0.947873158668497,0.9499264116469188,0.1629055088960934,0.086973252060773,475,120,1,1,247,62,0.6708748999517411,0.109011200023815,0.9084266668651252
four_class_exploratory,C_augmented_to_emosurv_test,0.7066666666666667,0.5141863980734414,0.6146174616104021,0.5141863980734412,0.5213774741802841,0.6689569402195231,0.7950852000133376,0.428843020297069,1862,450,67,17,548,83,0.7603787999833003,0.1438401999184861,0.319644888707747
four_class_exploratory,D_emosurv_to_sensefuzeai,0.4,0.45,0.1971595655806182,0.45,0.2723171565276828,0.2489131920710868,1.4976374533952523,0.785832394374273,1387,120,66,1,301,62,0.7178453999804333,0.1311221999349072,1.0926849994575605
four_class_exploratory,E_augmented_to_sensefuzeai_test,0.9583333333333334,0.9618589743589744,0.9547619047619048,0.9618589743589744,0.956999773708911,0.9582970119737504,0.2135410540674263,0.1060804042412221,1862,120,67,1,548,62,0.7377376001095399,0.1191216999432072,0.99268083286006
four_class_exploratory,F_sensefuzeai_to_emosurv,0.1755555555555555,0.3085163652024117,0.1465182311659532,0.3085163652024117,0.1901900133062469,0.1116853479867615,4.798246397265179,1.2046753460590145,475,450,1,17,247,83,0.5209096999606118,0.1180422999896109,0.2623162221991353
