partition,dataset_source,label,rows
emosurv_train,emosurv,distracted,398
emosurv_train,emosurv,fatigued,177
emosurv_train,emosurv,focused,706
emosurv_train,emosurv,overloaded,106
emosurv_test,emosurv,distracted,108
emosurv_test,emosurv,fatigued,43
emosurv_test,emosurv,focused,245
emosurv_test,emosurv,overloaded,54
sensefuzeai_train,sensefuzeai,distracted,134
sensefuzeai_train,sensefuzeai,fatigued,100
sensefuzeai_train,sensefuzeai,focused,122
sensefuzeai_train,sensefuzeai,overloaded,119
sensefuzeai_test,sensefuzeai,distracted,20
sensefuzeai_test,sensefuzeai,fatigued,29
sensefuzeai_test,sensefuzeai,focused,32
sensefuzeai_test,sensefuzeai,overloaded,39
combined_train,emosurv,distracted,398
combined_train,emosurv,fatigued,177
combined_train,emosurv,focused,706
combined_train,emosurv,overloaded,106
combined_train,sensefuzeai,distracted,134
combined_train,sensefuzeai,fatigued,100
combined_train,sensefuzeai,focused,122
combined_train,sensefuzeai,overloaded,119
