partition,dataset_source,label,rows
emosurv_train,emosurv,fatigued,159
emosurv_train,emosurv,focused,173
emosurv_train,emosurv,overloaded,121
emosurv_test,emosurv,fatigued,61
emosurv_test,emosurv,focused,19
emosurv_test,emosurv,overloaded,39
sensefuzeai_train,sensefuzeai,fatigued,104
sensefuzeai_train,sensefuzeai,focused,116
sensefuzeai_train,sensefuzeai,overloaded,132
sensefuzeai_test,sensefuzeai,fatigued,25
sensefuzeai_test,sensefuzeai,focused,38
sensefuzeai_test,sensefuzeai,overloaded,26
combined_train,emosurv,fatigued,159
combined_train,emosurv,focused,173
combined_train,emosurv,overloaded,121
combined_train,sensefuzeai,fatigued,104
combined_train,sensefuzeai,focused,116
combined_train,sensefuzeai,overloaded,132
