feature_group,model,num_features,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_temporal_accuracy_mean,cv_temporal_accuracy_std,cv_temporal_macro_f1_mean,cv_temporal_macro_f1_std,cv_temporal_full_accuracy_mean,cv_temporal_full_accuracy_std,cv_temporal_full_macro_f1_mean,cv_temporal_full_macro_f1_std,cv_raw_switch_rate_mean,cv_temporal_switch_rate_mean,cv_switch_rate_reduction
audio_image,logistic_regression,1577,0.947265306122449,0.016574444281744274,0.9479558025959826,0.016145758722412692,0.947265306122449,0.016574444281744274,0.9479558025959826,0.016145758722412692,,,,,0.0,0.0,0.0
audio_only,svm_rbf,809,0.8419591836734694,0.03314969266999245,0.841777304820783,0.031902382736011765,0.8419591836734694,0.03314969266999245,0.841777304820783,0.031902382736011765,,,,,0.0,0.0,0.0
image_only,random_forest,768,0.9271020408163265,0.03769236928354879,0.9273360496186583,0.037885585014916685,0.9271020408163265,0.03769236928354879,0.9273360496186583,0.037885585014916685,,,,,0.0,0.0,0.0
keystroke_audio,lightgbm,831,0.9839183673469387,0.014989320090807104,0.9838573519877869,0.015161391353759717,0.9839183673469387,0.014989320090807104,0.9838573519877869,0.015161391353759717,,,,,0.0,0.0,0.0
keystroke_audio_image,random_forest,1599,0.9960000000000001,0.008000000000000007,0.9960000000000001,0.008000000000000007,0.9960000000000001,0.008000000000000007,0.9960000000000001,0.008000000000000007,,,,,0.0,0.0,0.0
keystroke_image,random_forest,790,0.9960000000000001,0.008000000000000007,0.9960000000000001,0.008000000000000007,0.9960000000000001,0.008000000000000007,0.9960000000000001,0.008000000000000007,,,,,0.0,0.0,0.0
keystroke_only,random_forest,22,0.992,0.016000000000000014,0.9918831168831168,0.0162337662337662,0.992,0.016000000000000014,0.9918831168831168,0.0162337662337662,,,,,0.0,0.0,0.0
keystroke_text,catboost,790,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0
keystroke_text_audio,catboost,1599,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0
keystroke_text_image,logistic_regression,1558,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0
multimodal_all,catboost,2367,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0
text_audio,logistic_regression,1577,0.9919183673469387,0.00989877968406474,0.992,0.00979795897113272,0.9919183673469387,0.00989877968406474,0.992,0.00979795897113272,,,,,0.0,0.0,0.0
text_audio_image,logistic_regression,2345,0.9959183673469388,0.008163265306122458,0.9960000000000001,0.008000000000000007,0.9959183673469388,0.008163265306122458,0.9960000000000001,0.008000000000000007,,,,,0.0,0.0,0.0
text_image,logistic_regression,1536,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0
text_only,svm_rbf,768,0.9919183673469387,0.00989877968406474,0.9919742351046699,0.009829598812120904,0.9919183673469387,0.00989877968406474,0.9919742351046699,0.009829598812120904,,,,,0.0,0.0,0.0
