__source_row,label,session_id,experiment_partition
0,distracted,distracted_20260612_182215_e5cc9805,heldout_test
1,distracted,distracted_20260612_182451_ec3a7775,development
2,distracted,distracted_20260612_182647_3cd34247,development
3,distracted,distracted_20260612_183036_e039e44a,development
4,distracted,distracted_20260612_183225_53210ca7,development
5,distracted,distracted_20260612_183632_0ecbee00,development
6,distracted,distracted_20260612_183859_8b6431b9,development
7,distracted,distracted_20260612_184047_aac526e6,development
8,distracted,distracted_20260612_184405_9ee0c931,development
9,distracted,distracted_20260612_184638_1af7b329,development
10,distracted,distracted_20260612_184909_03930fdf,development
11,distracted,distracted_20260612_185244_80e279d3,development
12,distracted,distracted_20260612_185726_e9e4116f,development
13,distracted,distracted_20260612_185918_e6ba2e78,development
14,distracted,distracted_20260612_190132_4b75f630,development
15,distracted,distracted_20260612_190336_55ee0c04,heldout_test
16,distracted,distracted_20260612_190512_8ff11cc7,development
17,distracted,distracted_20260612_190732_e3c333a4,development
18,distracted,distracted_20260612_190909_3a23a843,development
19,distracted,distracted_20260612_191115_829dd132,development
20,distracted,distracted_20260612_191407_5360d5ab,development
21,distracted,distracted_20260612_191626_d1b6e451,development
22,distracted,distracted_20260612_192013_71ddb4a9,development
23,distracted,distracted_20260612_192212_c28f822d,development
24,distracted,distracted_20260612_192411_9d4878cd,heldout_test
25,distracted,distracted_20260612_192842_7cd5c609,development
26,distracted,distracted_20260612_193803_ddb13883,development
27,distracted,distracted_20260612_194000_06ddb0bf,development
28,distracted,distracted_20260612_194252_64ab3128,development
29,distracted,distracted_20260612_194521_bfac7b78,heldout_test
30,distracted,distracted_20260612_194727_65319497,development
31,distracted,distracted_20260612_194925_e6809799,development
32,distracted,distracted_20260612_203008_83822a3c,development
33,distracted,distracted_20260612_203152_a988f386,heldout_test
34,distracted,distracted_20260612_203554_a5109eba,development
35,distracted,distracted_20260612_203818_e6516676,development
36,distracted,distracted_20260612_204006_d6853b97,development
37,distracted,distracted_20260612_204238_01ca1504,development
38,distracted,distracted_20260612_204504_ccf22124,development
39,distracted,distracted_20260612_204712_06015557,development
