feature_group,model,num_features_cv,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,fit_time_mean_sec,score_time_mean_sec,best_model,num_features_test,test_accuracy,test_macro_f1,permutation_macro_f1_mean,permutation_macro_f1_std,cv_minus_permutation_macro_f1,generalization_gap_macro_f1,generalization_gap_accuracy,overall_test_rank,delta_test_macro_f1_vs_baseline,delta_test_accuracy_vs_baseline,delta_cv_macro_f1_vs_baseline
keystroke_image,catboost,790,0.9935483870967742,0.0129032258064515,0.9935416666666668,0.0129166666666666,6.611118745803833,0.0267050266265869,catboost,790,1.0,1.0,,,,-0.006458333333333233,-0.006451612903225823,1,0.016196447230929945,0.01612903225806439,0.003280078160296407
keystroke_text_audio,lightgbm,1599,0.9967741935483873,0.0064516129032258,0.996871945259042,0.0062561094819159,4.33291540145874,0.091927433013916,lightgbm,1599,1.0,1.0,,,,-0.0031280547409580084,-0.003225806451612745,2,0.016196447230929945,0.01612903225806439,0.006610356752671631
text_image,logistic_regression,1536,0.9967741935483873,0.0064516129032258,0.9967741935483873,0.0064516129032258,0.1577376842498779,0.0391141891479492,logistic_regression,1536,1.0,1.0,,,,-0.003225806451612745,-0.003225806451612745,3,0.016196447230929945,0.01612903225806439,0.006512605042016895
text_audio_image,logistic_regression,2345,1.0,0.0,1.0,0.0,0.281599760055542,0.076833438873291,logistic_regression,2345,1.0,1.0,,,,0.0,0.0,4,0.016196447230929945,0.01612903225806439,0.00973841149362964
multimodal_all,random_forest,2367,1.0,0.0,1.0,0.0,0.5112189292907715,0.2195483684539795,random_forest,2367,1.0,1.0,0.2447038727548407,0.0228439547172991,0.7552961272451593,0.0,0.0,5,0.016196447230929945,0.01612903225806439,0.00973841149362964
keystroke_text,lightgbm,790,0.9967741935483873,0.0064516129032258,0.996871945259042,0.0062561094819159,1.5715110778808594,0.0401150226593017,lightgbm,790,1.0,1.0,,,,-0.0031280547409580084,-0.003225806451612745,6,0.016196447230929945,0.01612903225806439,0.006610356752671631
keystroke_audio_image,xgboost,1599,0.9935483870967742,0.0079015798154296,0.9935483870967742,0.0079015798154296,7.439271020889282,0.0820166110992431,xgboost,1599,0.9838709677419356,0.9843597262952102,,,,0.009188660801563997,0.009677419354838568,7,0.0005561735261401246,0.0,0.0032867985904038166
text_audio,logistic_regression,1577,0.9934955050237968,0.0079667856521486,0.9935349041022012,0.0079181217425258,0.1507307052612304,0.0560834407806396,logistic_regression,1577,0.9838709677419356,0.9838709677419356,,,,0.009663936360265635,0.00962453728186119,8,6.741497286555376e-05,0.0,0.0032733155958308835
keystroke_text_image,random_forest,1558,1.0,0.0,1.0,0.0,0.6673580646514893,0.1093632221221923,random_forest,1558,0.9838709677419356,0.9838709677419356,,,,0.01612903225806439,0.01612903225806439,9,6.741497286555376e-05,0.0,0.00973841149362964
text_only,logistic_regression,768,0.9870967741935484,0.0120698625379804,0.9870967741935484,0.0120698625379804,0.0797907352447509,0.0225997924804687,logistic_regression,768,0.9838709677419356,0.9838709677419356,0.2366222298576115,0.0287959963031993,0.7504745443359369,0.003225806451612745,0.003225806451612745,10,6.741497286555376e-05,0.0,-0.0031648143128220063
keystroke_audio,lightgbm,831,0.9806451612903226,0.0237047394462888,0.9806801177595116,0.0236106739991014,1.6836014270782471,0.063415241241455,lightgbm,831,0.9838709677419356,0.98380355276907,,,,-0.003123435009558473,-0.003225806451612967,11,0.0,0.0,-0.009581470746858778
keystroke_only,random_forest,22,0.9903225806451612,0.0129032258064516,0.9902615885063704,0.0130100960820276,0.154348611831665,0.0282510757446289,random_forest,22,0.9838709677419356,0.98380355276907,0.2187986630988779,0.0225563865385778,0.7714629254074925,0.006458035737300305,0.006451612903225601,12,0.0,0.0,0.0
image_only,svm_rbf,768,0.9354309888947648,0.0367103678858411,0.9351280955298492,0.0369562418940759,0.1090345859527587,0.0334120273590087,svm_rbf,768,0.9516129032258064,0.9513510682865522,0.2320066084896419,0.0199623311807641,0.7031214870402073,-0.016222972756703036,-0.016181914331041547,13,-0.03245248448251781,-0.032258064516129226,-0.05513349297652115
audio_image,svm_rbf,1577,0.9450026441036488,0.0331823946756598,0.9449520932349074,0.0334323883925667,0.4006759166717529,0.065738296508789,svm_rbf,1577,0.9193548387096774,0.9183424102778942,,,,0.02660968295701316,0.02564780539397138,14,-0.06546114249117585,-0.06451612903225823,-0.045309495271462996
audio_only,svm_rbf,809,0.8510840824960338,0.0427244606266744,0.8495743781889334,0.0442179801786761,0.1088915824890136,0.0202003002166748,svm_rbf,809,0.8709677419354839,0.8678372210953347,0.2523606826315187,0.0247012654823801,0.5972136955574148,-0.018262842906401233,-0.01988365943945003,15,-0.11596633167373538,-0.11290322580645173,-0.14068721031743692
