__source_row,session_id,label,feature_group,model,raw_fusion_state,raw_confidence,raw_confidence_gap,raw_confidence_level,raw_probabilities,final_state,temporal_confidence,temporal_confidence_gap,temporal_confidence_level,temporal_probabilities,temporal_samples,temporal_window,temporal_window_full,raw_focused_prob,temporal_focused_prob,raw_distracted_prob,temporal_distracted_prob,raw_fatigued_prob,temporal_fatigued_prob,raw_overloaded_prob,temporal_overloaded_prob,__ground_truth,eval_raw_state,eval_raw_confidence,eval_raw_confidence_percent,eval_raw_second_class,eval_raw_second_probability,eval_raw_confidence_gap,eval_raw_confidence_level,eval_raw_probabilities,eval_raw_probability_sum,eval_raw_probability_valid,eval_temporal_state,eval_temporal_confidence,eval_temporal_confidence_percent,eval_temporal_second_class,eval_temporal_second_probability,eval_temporal_confidence_gap,eval_temporal_confidence_level,eval_temporal_probabilities,eval_temporal_samples,eval_temporal_window,eval_temporal_window_full,eval_temporal_probability_sum,eval_temporal_probability_valid,eval_raw_focused_prob,eval_temporal_focused_prob,eval_raw_distracted_prob,eval_temporal_distracted_prob,eval_raw_fatigued_prob,eval_temporal_fatigued_prob,eval_raw_overloaded_prob,eval_temporal_overloaded_prob
0,distracted_20260612_182215_e5cc9805,distracted,multimodal_all,catboost,distracted,0.9347759500827224,0.90410242287605,High,"{""focused"": 0.019445552460158378, ""distracted"": 0.9347759500827225, ""fatigued"": 0.015104970250446503, ""overloaded"": 0.030673527206672598}",distracted,0.9347759500827224,0.90410242287605,High,"{""focused"": 0.019445552460158378, ""distracted"": 0.9347759500827225, ""fatigued"": 0.015104970250446503, ""overloaded"": 0.030673527206672598}",1,5,False,0.0194455524601583,0.0194455524601583,0.9347759500827224,0.9347759500827224,0.0151049702504465,0.0151049702504465,0.0306735272066725,0.0306735272066725,distracted,distracted,0.9347759500827225,93.47759500827225,overloaded,0.030673527206672598,0.9041024228760499,High,"{""focused"": 0.019445552460158378, ""distracted"": 0.9347759500827225, ""fatigued"": 0.015104970250446503, ""overloaded"": 0.030673527206672598}",1.0,True,distracted,0.9347759500827225,93.47759500827225,overloaded,0.030673527206672598,0.9041024228760499,High,"{""focused"": 0.019445552460158378, ""distracted"": 0.9347759500827225, ""fatigued"": 0.015104970250446503, ""overloaded"": 0.030673527206672598}",1,5,False,1.0,True,0.019445552460158378,0.019445552460158378,0.9347759500827225,0.9347759500827225,0.015104970250446503,0.015104970250446503,0.030673527206672598,0.030673527206672598
1,distracted_20260612_190336_55ee0c04,distracted,multimodal_all,catboost,distracted,0.6360190817804534,0.4853387021109515,High,"{""focused"": 0.07038387230490084, ""distracted"": 0.6360190817804534, ""fatigued"": 0.14291666624514385, ""overloaded"": 0.15068037966950185}",distracted,0.6360190817804534,0.4853387021109515,High,"{""focused"": 0.07038387230490084, ""distracted"": 0.6360190817804534, ""fatigued"": 0.14291666624514385, ""overloaded"": 0.15068037966950185}",1,5,False,0.0703838723049008,0.0703838723049008,0.6360190817804534,0.6360190817804534,0.1429166662451438,0.1429166662451438,0.1506803796695018,0.1506803796695018,distracted,distracted,0.6360190817804534,63.60190817804534,overloaded,0.15068037966950185,0.48533870211095154,High,"{""focused"": 0.07038387230490084, ""distracted"": 0.6360190817804534, ""fatigued"": 0.14291666624514385, ""overloaded"": 0.15068037966950185}",1.0,True,distracted,0.6360190817804534,63.60190817804534,overloaded,0.15068037966950185,0.48533870211095154,High,"{""focused"": 0.07038387230490084, ""distracted"": 0.6360190817804534, ""fatigued"": 0.14291666624514385, ""overloaded"": 0.15068037966950185}",1,5,False,1.0,True,0.07038387230490084,0.07038387230490084,0.6360190817804534,0.6360190817804534,0.14291666624514385,0.14291666624514385,0.15068037966950185,0.15068037966950185
2,distracted_20260612_192411_9d4878cd,distracted,multimodal_all,catboost,distracted,0.8861992532686217,0.8431412509940908,High,"{""focused"": 0.03804773028757523, ""distracted"": 0.8861992532686217, ""fatigued"": 0.032695014169272174, ""overloaded"": 0.04305800227453095}",distracted,0.8861992532686217,0.8431412509940908,High,"{""focused"": 0.03804773028757523, ""distracted"": 0.8861992532686217, ""fatigued"": 0.032695014169272174, ""overloaded"": 0.04305800227453095}",1,5,False,0.0380477302875752,0.0380477302875752,0.8861992532686217,0.8861992532686217,0.0326950141692721,0.0326950141692721,0.0430580022745309,0.0430580022745309,distracted,distracted,0.8861992532686217,88.61992532686217,overloaded,0.04305800227453095,0.8431412509940908,High,"{""focused"": 0.03804773028757523, ""distracted"": 0.8861992532686217, ""fatigued"": 0.032695014169272174, ""overloaded"": 0.04305800227453095}",1.0,True,distracted,0.8861992532686217,88.61992532686217,overloaded,0.04305800227453095,0.8431412509940908,High,"{""focused"": 0.03804773028757523, ""distracted"": 0.8861992532686217, ""fatigued"": 0.032695014169272174, ""overloaded"": 0.04305800227453095}",1,5,False,1.0,True,0.03804773028757523,0.03804773028757523,0.8861992532686217,0.8861992532686217,0.032695014169272174,0.032695014169272174,0.04305800227453095,0.04305800227453095
3,distracted_20260612_194521_bfac7b78,distracted,multimodal_all,catboost,distracted,0.90935288611179,0.8734380282856177,High,"{""focused"": 0.028911969772137946, ""distracted"": 0.90935288611179, ""fatigued"": 0.02582028628989984, ""overloaded"": 0.03591485782617229}",distracted,0.90935288611179,0.8734380282856177,High,"{""focused"": 0.028911969772137946, ""distracted"": 0.90935288611179, ""fatigued"": 0.02582028628989984, ""overloaded"": 0.03591485782617229}",1,5,False,0.0289119697721379,0.0289119697721379,0.90935288611179,0.90935288611179,0.0258202862898998,0.0258202862898998,0.0359148578261722,0.0359148578261722,distracted,distracted,0.90935288611179,90.935288611179,overloaded,0.03591485782617229,0.8734380282856177,High,"{""focused"": 0.028911969772137946, ""distracted"": 0.90935288611179, ""fatigued"": 0.02582028628989984, ""overloaded"": 0.03591485782617229}",1.0,True,distracted,0.90935288611179,90.935288611179,overloaded,0.03591485782617229,0.8734380282856177,High,"{""focused"": 0.028911969772137946, ""distracted"": 0.90935288611179, ""fatigued"": 0.02582028628989984, ""overloaded"": 0.03591485782617229}",1,5,False,1.0,True,0.028911969772137946,0.028911969772137946,0.90935288611179,0.90935288611179,0.02582028628989984,0.02582028628989984,0.03591485782617229,0.03591485782617229
4,distracted_20260612_203152_a988f386,distracted,multimodal_all,catboost,distracted,0.8869456104341784,0.8461993837614457,High,"{""focused"": 0.031990214526351535, ""distracted"": 0.8869456104341784, ""fatigued"": 0.04074622667273274, ""overloaded"": 0.04031794836673739}",distracted,0.8869456104341784,0.8461993837614457,High,"{""focused"": 0.031990214526351535, ""distracted"": 0.8869456104341784, ""fatigued"": 0.04074622667273274, ""overloaded"": 0.04031794836673739}",1,5,False,0.0319902145263515,0.0319902145263515,0.8869456104341784,0.8869456104341784,0.0407462266727327,0.0407462266727327,0.0403179483667373,0.0403179483667373,distracted,distracted,0.8869456104341784,88.69456104341783,fatigued,0.04074622667273274,0.8461993837614457,High,"{""focused"": 0.031990214526351535, ""distracted"": 0.8869456104341784, ""fatigued"": 0.04074622667273274, ""overloaded"": 0.04031794836673739}",1.0,True,distracted,0.8869456104341784,88.69456104341783,fatigued,0.04074622667273274,0.8461993837614457,High,"{""focused"": 0.031990214526351535, ""distracted"": 0.8869456104341784, ""fatigued"": 0.04074622667273274, ""overloaded"": 0.04031794836673739}",1,5,False,1.0,True,0.031990214526351535,0.031990214526351535,0.8869456104341784,0.8869456104341784,0.04074622667273274,0.04074622667273274,0.04031794836673739,0.04031794836673739
5,distracted_20260612_205352_0e850584,distracted,multimodal_all,catboost,distracted,0.93667462287367,0.9095977746836216,High,"{""focused"": 0.019443039898890763, ""distracted"": 0.9366746228736701, ""fatigued"": 0.0168054890373905, ""overloaded"": 0.02707684819004862}",distracted,0.93667462287367,0.9095977746836216,High,"{""focused"": 0.019443039898890763, ""distracted"": 0.9366746228736701, ""fatigued"": 0.0168054890373905, ""overloaded"": 0.02707684819004862}",1,5,False,0.0194430398988907,0.0194430398988907,0.93667462287367,0.93667462287367,0.0168054890373905,0.0168054890373905,0.0270768481900486,0.0270768481900486,distracted,distracted,0.9366746228736701,93.66746228736702,overloaded,0.02707684819004862,0.9095977746836215,High,"{""focused"": 0.019443039898890763, ""distracted"": 0.9366746228736701, ""fatigued"": 0.0168054890373905, ""overloaded"": 0.02707684819004862}",1.0,True,distracted,0.9366746228736701,93.66746228736702,overloaded,0.02707684819004862,0.9095977746836215,High,"{""focused"": 0.019443039898890763, ""distracted"": 0.9366746228736701, ""fatigued"": 0.0168054890373905, ""overloaded"": 0.02707684819004862}",1,5,False,1.0,True,0.019443039898890763,0.019443039898890763,0.9366746228736701,0.9366746228736701,0.0168054890373905,0.0168054890373905,0.02707684819004862,0.02707684819004862
6,distracted_20260612_205733_6f76fe80,distracted,multimodal_all,catboost,distracted,0.8796275093093254,0.8262026405753571,High,"{""focused"": 0.038466544399195335, ""distracted"": 0.8796275093093254, ""fatigued"": 0.028481077557510826, ""overloaded"": 0.053424868733968386}",distracted,0.8796275093093254,0.8262026405753571,High,"{""focused"": 0.038466544399195335, ""distracted"": 0.8796275093093254, ""fatigued"": 0.028481077557510826, ""overloaded"": 0.053424868733968386}",1,5,False,0.0384665443991953,0.0384665443991953,0.8796275093093254,0.8796275093093254,0.0284810775575108,0.0284810775575108,0.0534248687339683,0.0534248687339683,distracted,distracted,0.8796275093093254,87.96275093093254,overloaded,0.053424868733968386,0.8262026405753571,High,"{""focused"": 0.038466544399195335, ""distracted"": 0.8796275093093254, ""fatigued"": 0.028481077557510826, ""overloaded"": 0.053424868733968386}",1.0,True,distracted,0.8796275093093254,87.96275093093254,overloaded,0.053424868733968386,0.8262026405753571,High,"{""focused"": 0.038466544399195335, ""distracted"": 0.8796275093093254, ""fatigued"": 0.028481077557510826, ""overloaded"": 0.053424868733968386}",1,5,False,1.0,True,0.038466544399195335,0.038466544399195335,0.8796275093093254,0.8796275093093254,0.028481077557510826,0.028481077557510826,0.053424868733968386,0.053424868733968386
7,distracted_20260612_210949_1b3266ad,distracted,multimodal_all,catboost,distracted,0.9079029029679409,0.8634836649754942,High,"{""focused"": 0.022335636632060448, ""distracted"": 0.9079029029679409, ""fatigued"": 0.025342222407552146, ""overloaded"": 0.044419237992446584}",distracted,0.9079029029679409,0.8634836649754942,High,"{""focused"": 0.022335636632060448, ""distracted"": 0.9079029029679409, ""fatigued"": 0.025342222407552146, ""overloaded"": 0.044419237992446584}",1,5,False,0.0223356366320604,0.0223356366320604,0.9079029029679409,0.9079029029679409,0.0253422224075521,0.0253422224075521,0.0444192379924465,0.0444192379924465,distracted,distracted,0.9079029029679409,90.79029029679408,overloaded,0.044419237992446584,0.8634836649754942,High,"{""focused"": 0.022335636632060448, ""distracted"": 0.9079029029679409, ""fatigued"": 0.025342222407552146, ""overloaded"": 0.044419237992446584}",1.0,True,distracted,0.9079029029679409,90.79029029679408,overloaded,0.044419237992446584,0.8634836649754942,High,"{""focused"": 0.022335636632060448, ""distracted"": 0.9079029029679409, ""fatigued"": 0.025342222407552146, ""overloaded"": 0.044419237992446584}",1,5,False,1.0,True,0.022335636632060448,0.022335636632060448,0.9079029029679409,0.9079029029679409,0.025342222407552146,0.025342222407552146,0.044419237992446584,0.044419237992446584
8,distracted_20260612_212230_44fba56a,distracted,multimodal_all,catboost,distracted,0.8781113435659073,0.8199827754770271,High,"{""focused"": 0.02748907722347554, ""distracted"": 0.8781113435659073, ""fatigued"": 0.036271011121737105, ""overloaded"": 0.05812856808888014}",distracted,0.8781113435659073,0.8199827754770271,High,"{""focused"": 0.02748907722347554, ""distracted"": 0.8781113435659073, ""fatigued"": 0.036271011121737105, ""overloaded"": 0.05812856808888014}",1,5,False,0.0274890772234755,0.0274890772234755,0.8781113435659073,0.8781113435659073,0.0362710111217371,0.0362710111217371,0.0581285680888801,0.0581285680888801,distracted,distracted,0.8781113435659073,87.81113435659073,overloaded,0.05812856808888014,0.8199827754770271,High,"{""focused"": 0.02748907722347554, ""distracted"": 0.8781113435659073, ""fatigued"": 0.036271011121737105, ""overloaded"": 0.05812856808888014}",1.0,True,distracted,0.8781113435659073,87.81113435659073,overloaded,0.05812856808888014,0.8199827754770271,High,"{""focused"": 0.02748907722347554, ""distracted"": 0.8781113435659073, ""fatigued"": 0.036271011121737105, ""overloaded"": 0.05812856808888014}",1,5,False,1.0,True,0.02748907722347554,0.02748907722347554,0.8781113435659073,0.8781113435659073,0.036271011121737105,0.036271011121737105,0.05812856808888014,0.05812856808888014
9,distracted_20260612_212508_999385ab,distracted,multimodal_all,catboost,distracted,0.9359570822367216,0.911361598792963,High,"{""focused"": 0.02004086977745786, ""distracted"": 0.9359570822367217, ""fatigued"": 0.019406564542061744, ""overloaded"": 0.02459548344375875}",distracted,0.9359570822367216,0.911361598792963,High,"{""focused"": 0.02004086977745786, ""distracted"": 0.9359570822367217, ""fatigued"": 0.019406564542061744, ""overloaded"": 0.02459548344375875}",1,5,False,0.0200408697774578,0.0200408697774578,0.9359570822367216,0.9359570822367216,0.0194065645420617,0.0194065645420617,0.0245954834437587,0.0245954834437587,distracted,distracted,0.9359570822367217,93.59570822367218,overloaded,0.02459548344375875,0.911361598792963,High,"{""focused"": 0.02004086977745786, ""distracted"": 0.9359570822367217, ""fatigued"": 0.019406564542061744, ""overloaded"": 0.02459548344375875}",1.0,True,distracted,0.9359570822367217,93.59570822367218,overloaded,0.02459548344375875,0.911361598792963,High,"{""focused"": 0.02004086977745786, ""distracted"": 0.9359570822367217, ""fatigued"": 0.019406564542061744, ""overloaded"": 0.02459548344375875}",1,5,False,1.0,True,0.02004086977745786,0.02004086977745786,0.9359570822367217,0.9359570822367217,0.019406564542061744,0.019406564542061744,0.02459548344375875,0.02459548344375875
