session_id,observations,possible_transitions,raw_switches,raw_switch_rate,temporal_switches,temporal_switch_rate,switch_rate_difference,switch_rate_reduction
distracted_20260612_182215_e5cc9805,1,0,0,0.0,0,0.0,0.0,0.0
distracted_20260612_190336_55ee0c04,1,0,0,0.0,0,0.0,0.0,0.0
distracted_20260612_192411_9d4878cd,1,0,0,0.0,0,0.0,0.0,0.0
distracted_20260612_194521_bfac7b78,1,0,0,0.0,0,0.0,0.0,0.0
distracted_20260612_203152_a988f386,1,0,0,0.0,0,0.0,0.0,0.0
distracted_20260612_205352_0e850584,1,0,0,0.0,0,0.0,0.0,0.0
distracted_20260612_205733_6f76fe80,1,0,0,0.0,0,0.0,0.0,0.0
distracted_20260612_210949_1b3266ad,1,0,0,0.0,0,0.0,0.0,0.0
distracted_20260612_212230_44fba56a,1,0,0,0.0,0,0.0,0.0,0.0
distracted_20260612_212508_999385ab,1,0,0,0.0,0,0.0,0.0,0.0
distracted_20260612_212851_9703787c,1,0,0,0.0,0,0.0,0.0,0.0
distracted_20260612_213701_eaa522bb,1,0,0,0.0,0,0.0,0.0,0.0
distracted_20260612_213918_45118a75,1,0,0,0.0,0,0.0,0.0,0.0
distracted_20260612_215501_58efe950,1,0,0,0.0,0,0.0,0.0,0.0
distracted_20260612_215627_f5bc2151,1,0,0,0.0,0,0.0,0.0,0.0
distracted_20260612_220436_7ec9bdf5,1,0,0,0.0,0,0.0,0.0,0.0
fatigued_20260610_211036_a7b4ae44,1,0,0,0.0,0,0.0,0.0,0.0
fatigued_20260610_211659_4f694336,1,0,0,0.0,0,0.0,0.0,0.0
fatigued_20260610_214330_ac67c1d4,1,0,0,0.0,0,0.0,0.0,0.0
fatigued_20260610_215136_5ac0bd42,1,0,0,0.0,0,0.0,0.0,0.0
fatigued_20260610_220102_bcc174bd,1,0,0,0.0,0,0.0,0.0,0.0
fatigued_20260610_222542_3ec6fe44,1,0,0,0.0,0,0.0,0.0,0.0
fatigued_20260610_223009_05e8da1a,1,0,0,0.0,0,0.0,0.0,0.0
fatigued_20260611_050356_c0eeb044,1,0,0,0.0,0,0.0,0.0,0.0
fatigued_20260611_082539_7de65c8a,1,0,0,0.0,0,0.0,0.0,0.0
fatigued_20260611_083525_5d35bb3e,1,0,0,0.0,0,0.0,0.0,0.0
fatigued_20260611_113334_ffe3e369,1,0,0,0.0,0,0.0,0.0,0.0
fatigued_20260611_122522_3fd04a41,1,0,0,0.0,0,0.0,0.0,0.0
fatigued_20260611_122853_bf69ddbe,1,0,0,0.0,0,0.0,0.0,0.0
fatigued_20260611_123424_2c9769b1,1,0,0,0.0,0,0.0,0.0,0.0
fatigued_20260611_134932_c53fc270,1,0,0,0.0,0,0.0,0.0,0.0
focused_20260611_203933_8705813b,1,0,0,0.0,0,0.0,0.0,0.0
focused_20260611_210728_8bbad72c,1,0,0,0.0,0,0.0,0.0,0.0
focused_20260611_213418_a9735159,1,0,0,0.0,0,0.0,0.0,0.0
focused_20260611_220056_fa2d702f,1,0,0,0.0,0,0.0,0.0,0.0
focused_20260611_221312_f3529433,1,0,0,0.0,0,0.0,0.0,0.0
focused_20260611_222352_60ef74fc,1,0,0,0.0,0,0.0,0.0,0.0
focused_20260611_235854_79d13967,1,0,0,0.0,0,0.0,0.0,0.0
focused_20260612_003501_ccbc539d,1,0,0,0.0,0,0.0,0.0,0.0
focused_20260612_034628_551c12e3,1,0,0,0.0,0,0.0,0.0,0.0
focused_20260612_035522_d8732fb0,1,0,0,0.0,0,0.0,0.0,0.0
focused_20260612_040535_24e12346,1,0,0,0.0,0,0.0,0.0,0.0
focused_20260612_044928_571c7940,1,0,0,0.0,0,0.0,0.0,0.0
focused_20260612_045148_e1e3b813,1,0,0,0.0,0,0.0,0.0,0.0
focused_20260612_045739_96b0d056,1,0,0,0.0,0,0.0,0.0,0.0
focused_20260612_045940_672d4a81,1,0,0,0.0,0,0.0,0.0,0.0
focused_20260612_051547_64095261,1,0,0,0.0,0,0.0,0.0,0.0
overloaded_20260612_223559_d6295534,1,0,0,0.0,0,0.0,0.0,0.0
overloaded_20260613_034837_ef039e72,1,0,0,0.0,0,0.0,0.0,0.0
overloaded_20260613_041802_3681915d,1,0,0,0.0,0,0.0,0.0,0.0
overloaded_20260613_042423_8e129c15,1,0,0,0.0,0,0.0,0.0,0.0
overloaded_20260613_044753_1d9b577c,1,0,0,0.0,0,0.0,0.0,0.0
overloaded_20260613_045042_6be75c92,1,0,0,0.0,0,0.0,0.0,0.0
overloaded_20260613_045938_fc4e7e55,1,0,0,0.0,0,0.0,0.0,0.0
overloaded_20260613_053830_7038f77e,1,0,0,0.0,0,0.0,0.0,0.0
overloaded_20260613_062041_eebec9f0,1,0,0,0.0,0,0.0,0.0,0.0
overloaded_20260613_070035_188967e9,1,0,0,0.0,0,0.0,0.0,0.0
overloaded_20260613_070445_a662d2d0,1,0,0,0.0,0,0.0,0.0,0.0
overloaded_20260613_071146_01b35fa2,1,0,0,0.0,0,0.0,0.0,0.0
overloaded_20260613_080157_cfcf1725,1,0,0,0.0,0,0.0,0.0,0.0
overloaded_20260613_100549_801828bd,1,0,0,0.0,0,0.0,0.0,0.0
overloaded_20260613_120730_28f60f8e,1,0,0,0.0,0,0.0,0.0,0.0
