session_id,label,created_at,text_path,keystroke_path,audio_path,image_path,typed_text,typed_text_length,keydown_count,event_count,expected_event_count,keystroke_validation_passed,keystroke_validation_message,total_duration_sec,typing_speed_kps,typing_speed_wpm,delay_mean,delay_std,delay_min,delay_max,hold_mean,hold_std,pause_count_1000,pause_count_2000,pause_count_5000,pause_ratio_1000,pause_ratio_2000,mental_block_ratio_5000,correction_count,correction_ratio,rhythm_consistency,burstiness_proxy,fits_starts_index,audio_provided,image_provided,collection_mode,notes
fatigued_20260610_204849_ca81fca6,fatigued,2026-06-10T20:48:49,texts\fatigued_20260610_204849_ca81fca6.txt,keystrokes\fatigued_20260610_204849_ca81fca6.json,audio\fatigued_20260610_204849_ca81fca6.mp3,images\fatigued_20260610_204849_ca81fca6.jpg,"I feel tired and slow, and it is difficult to stay alert while working.",71,72,144,144,True,✓ Session validation passed,30.6672,2.3478,27.3909,0.4319,0.3993,0.1811,3.6013,0.1155,0.0483,1,1,0,0.0141,0.0141,0.0,0,0.0,0.7146,0.9245,0.0141,True,True,guided_session_aligned_with_keystroke_biometrics,
fatigued_20260610_205607_8887b0f9,fatigued,2026-06-10T20:56:07,texts\fatigued_20260610_205607_8887b0f9.txt,keystrokes\fatigued_20260610_205607_8887b0f9.json,audio\fatigued_20260610_205607_8887b0f9.mp3,images\fatigued_20260610_205607_8887b0f9.jpg,I am feeling sleepy and my typing is slower than usual.,55,56,112,112,True,✓ Session validation passed,21.3867,2.6184,30.8603,0.3888,0.332,0.1339,2.6725,0.1047,0.0381,1,1,0,0.0182,0.0182,0.0,0,0.0,0.7508,0.8537,0.0182,True,True,guided_session_aligned_with_keystroke_biometrics,
fatigued_20260610_205905_8cfa4763,fatigued,2026-06-10T20:59:05,texts\fatigued_20260610_205905_8cfa4763.txt,keystrokes\fatigued_20260610_205905_8cfa4763.json,audio\fatigued_20260610_205905_8cfa4763.mp3,images\fatigued_20260610_205905_8cfa4763.jpg,I feel low on energy and it is difficult to concentrate on this task.,69,70,140,140,True,✓ Session validation passed,26.5711,2.6344,31.6133,0.3851,0.3354,0.1448,3.017,0.107,0.0409,1,1,0,0.0145,0.0145,0.0,0,0.0,0.7488,0.871,0.0145,True,True,guided_session_aligned_with_keystroke_biometrics,
fatigued_20260610_210145_693e819a,fatigued,2026-06-10T21:01:45,texts\fatigued_20260610_210145_693e819a.txt,keystrokes\fatigued_20260610_210145_693e819a.json,audio\fatigued_20260610_210145_693e819a.mp3,images\fatigued_20260610_210145_693e819a.jpg,I am tired and need more time to think before writing each sentence.,68,71,142,142,True,✓ Session validation passed,36.4387,1.9485,21.4058,0.5206,0.5928,0.1963,4.3498,0.1033,0.0785,3,2,0,0.0429,0.0286,0.0,1,0.0141,0.6278,1.1388,0.0429,True,True,guided_session_aligned_with_keystroke_biometrics,
fatigued_20260610_210404_b81457e0,fatigued,2026-06-10T21:04:04,texts\fatigued_20260610_210404_b81457e0.txt,keystrokes\fatigued_20260610_210404_b81457e0.json,audio\fatigued_20260610_210404_b81457e0.mp3,images\fatigued_20260610_210404_b81457e0.jpg,I feel mentally drained and my work pace has become much slower.,64,65,130,130,True,✓ Session validation passed,30.98,2.0981,23.2408,0.4841,0.4745,0.2397,4.0692,0.128,0.1331,2,1,0,0.0312,0.0156,0.0,0,0.0,0.6782,0.9803,0.0312,True,True,guided_session_aligned_with_keystroke_biometrics,
focused_20260611_203335_5f244a13,focused,2026-06-11T20:33:35,texts\focused_20260611_203335_5f244a13.txt,keystrokes\focused_20260611_203335_5f244a13.json,audio\focused_20260611_203335_5f244a13.mp3,images\focused_20260611_203335_5f244a13.jpg,I am concentrating on my assignment and making steady progress with my work.,76,77,154,154,True,OK - Session validation passed,10.2926,7.4811,75.7828,0.1354,0.0583,0.0483,0.3138,0.0958,0.035,0,0,0,0.0,0.0,0.0,0,0.0,0.9449,0.4305,0.0,True,True,guided_session_aligned_with_keystroke_biometrics,
focused_20260611_203933_8705813b,focused,2026-06-11T20:39:33,texts\focused_20260611_203933_8705813b.txt,keystrokes\focused_20260611_203933_8705813b.json,audio\focused_20260611_203933_8705813b.mp3,images\focused_20260611_203933_8705813b.jpg,I am fully focused on completing this task carefully and efficiently.,69,70,140,140,True,OK - Session validation passed,7.1296,9.8182,92.5717,0.1033,0.0388,0.0401,0.1835,0.0914,0.0339,0,0,0,0.0,0.0,0.0,0,0.0,0.9626,0.3759,0.0,True,True,guided_session_aligned_with_keystroke_biometrics,
focused_20260611_204136_cbee82eb,focused,2026-06-11T20:41:36,texts\focused_20260611_204136_cbee82eb.txt,keystrokes\focused_20260611_204136_cbee82eb.json,audio\focused_20260611_204136_cbee82eb.mp3,images\focused_20260611_204136_cbee82eb.jpg,I am paying close attention to the details of my project today.,63,64,128,128,True,OK - Session validation passed,6.8692,9.317,104.8162,0.109,0.0406,0.0504,0.2296,0.094,0.042,0,0,0,0.0,0.0,0.0,0,0.0,0.961,0.3724,0.0,True,True,guided_session_aligned_with_keystroke_biometrics,
focused_20260611_204247_e04a8459,focused,2026-06-11T20:42:47,texts\focused_20260611_204247_e04a8459.txt,keystrokes\focused_20260611_204247_e04a8459.json,audio\focused_20260611_204247_e04a8459.mp3,images\focused_20260611_204247_e04a8459.jpg,I am working steadily and staying committed to my current task.,63,64,128,128,True,OK - Session validation passed,7.2132,8.8726,91.4986,0.1145,0.0449,0.0404,0.2727,0.091,0.0329,0,0,0,0.0,0.0,0.0,0,0.0,0.9571,0.3919,0.0,True,True,guided_session_aligned_with_keystroke_biometrics,
focused_20260611_204500_f993608f,focused,2026-06-11T20:45:00,texts\focused_20260611_204500_f993608f.txt,keystrokes\focused_20260611_204500_f993608f.json,audio\focused_20260611_204500_f993608f.mp3,images\focused_20260611_204500_f993608f.jpg,I am focused on analysing the information and organising my ideas clearly.,74,75,150,150,True,OK - Session validation passed,8.3657,8.9652,86.0661,0.113,0.0544,0.0401,0.2589,0.0951,0.0375,0,0,0,0.0,0.0,0.0,0,0.0,0.9484,0.4809,0.0,True,True,guided_session_aligned_with_keystroke_biometrics,
distracted_20260612_182215_e5cc9805,distracted,2026-06-12T18:22:15,texts\distracted_20260612_182215_e5cc9805.txt,keystrokes\distracted_20260612_182215_e5cc9805.json,audio\distracted_20260612_182215_e5cc9805.mp3,images\distracted_20260612_182215_e5cc9805.jpg,I keep checking my phone and switching between tabs instead of finishing my work.,81,86,172,172,True,OK - Session validation passed,16.3976,5.2447,51.2269,0.1929,0.2687,0.0456,1.8109,0.1045,0.0522,2,0,0,0.0235,0.0,0.0,2,0.0233,0.7882,1.3929,0.0235,True,True,guided_session_aligned_with_keystroke_biometrics,
distracted_20260612_182451_ec3a7775,distracted,2026-06-12T18:24:51,texts\distracted_20260612_182451_ec3a7775.txt,keystrokes\distracted_20260612_182451_ec3a7775.json,audio\distracted_20260612_182451_ec3a7775.mp3,images\distracted_20260612_182451_ec3a7775.jpg,"I am trying to work, but my attention keeps moving to other things.",67,70,140,140,True,OK - Session validation passed,13.0539,5.3624,59.7524,0.1892,0.3174,0.0146,2.2386,0.1001,0.0413,2,1,0,0.029,0.0145,0.0,1,0.0143,0.7591,1.6779,0.029,True,True,guided_session_aligned_with_keystroke_biometrics,
distracted_20260612_182647_3cd34247,distracted,2026-06-12T18:26:47,texts\distracted_20260612_182647_3cd34247.txt,keystrokes\distracted_20260612_182647_3cd34247.json,audio\distracted_20260612_182647_3cd34247.mp3,images\distracted_20260612_182647_3cd34247.jpg,I keep losing focus because notifications are interrupting my thoughts.,71,74,148,148,True,OK - Session validation passed,13.4195,5.5144,44.711,0.1838,0.2129,0.0377,1.4439,0.1033,0.0419,2,0,0,0.0274,0.0,0.0,1,0.0135,0.8245,1.1581,0.0274,True,True,guided_session_aligned_with_keystroke_biometrics,
