session_id,behavioural_class,audio_file_count,audio_files,images_file_count,images_files,keystrokes_file_count,keystrokes_files,texts_file_count,texts_files
fatigued_20260610_204849_ca81fca6,fatigued,1,audio/fatigued_20260610_204849_ca81fca6.mp3,1,images/fatigued_20260610_204849_ca81fca6.jpg,1,keystrokes/fatigued_20260610_204849_ca81fca6.json,1,texts/fatigued_20260610_204849_ca81fca6.txt
fatigued_20260610_205607_8887b0f9,fatigued,1,audio/fatigued_20260610_205607_8887b0f9.mp3,1,images/fatigued_20260610_205607_8887b0f9.jpg,1,keystrokes/fatigued_20260610_205607_8887b0f9.json,1,texts/fatigued_20260610_205607_8887b0f9.txt
fatigued_20260610_205905_8cfa4763,fatigued,1,audio/fatigued_20260610_205905_8cfa4763.mp3,1,images/fatigued_20260610_205905_8cfa4763.jpg,1,keystrokes/fatigued_20260610_205905_8cfa4763.json,1,texts/fatigued_20260610_205905_8cfa4763.txt
fatigued_20260610_210145_693e819a,fatigued,1,audio/fatigued_20260610_210145_693e819a.mp3,1,images/fatigued_20260610_210145_693e819a.jpg,1,keystrokes/fatigued_20260610_210145_693e819a.json,1,texts/fatigued_20260610_210145_693e819a.txt
fatigued_20260610_210404_b81457e0,fatigued,1,audio/fatigued_20260610_210404_b81457e0.mp3,1,images/fatigued_20260610_210404_b81457e0.jpg,1,keystrokes/fatigued_20260610_210404_b81457e0.json,1,texts/fatigued_20260610_210404_b81457e0.txt
focused_20260611_203335_5f244a13,focused,1,audio/focused_20260611_203335_5f244a13.mp3,1,images/focused_20260611_203335_5f244a13.jpg,1,keystrokes/focused_20260611_203335_5f244a13.json,1,texts/focused_20260611_203335_5f244a13.txt
focused_20260611_203933_8705813b,focused,1,audio/focused_20260611_203933_8705813b.mp3,1,images/focused_20260611_203933_8705813b.jpg,1,keystrokes/focused_20260611_203933_8705813b.json,1,texts/focused_20260611_203933_8705813b.txt
focused_20260611_204136_cbee82eb,focused,1,audio/focused_20260611_204136_cbee82eb.mp3,1,images/focused_20260611_204136_cbee82eb.jpg,1,keystrokes/focused_20260611_204136_cbee82eb.json,1,texts/focused_20260611_204136_cbee82eb.txt
focused_20260611_204247_e04a8459,focused,1,audio/focused_20260611_204247_e04a8459.mp3,1,images/focused_20260611_204247_e04a8459.jpg,1,keystrokes/focused_20260611_204247_e04a8459.json,1,texts/focused_20260611_204247_e04a8459.txt
focused_20260611_204500_f993608f,focused,1,audio/focused_20260611_204500_f993608f.mp3,1,images/focused_20260611_204500_f993608f.jpg,1,keystrokes/focused_20260611_204500_f993608f.json,1,texts/focused_20260611_204500_f993608f.txt
distracted_20260612_182215_e5cc9805,distracted,1,audio/distracted_20260612_182215_e5cc9805.mp3,1,images/distracted_20260612_182215_e5cc9805.jpg,1,keystrokes/distracted_20260612_182215_e5cc9805.json,1,texts/distracted_20260612_182215_e5cc9805.txt
distracted_20260612_182451_ec3a7775,distracted,1,audio/distracted_20260612_182451_ec3a7775.mp3,1,images/distracted_20260612_182451_ec3a7775.jpg,1,keystrokes/distracted_20260612_182451_ec3a7775.json,1,texts/distracted_20260612_182451_ec3a7775.txt
distracted_20260612_182647_3cd34247,distracted,1,audio/distracted_20260612_182647_3cd34247.mp3,1,images/distracted_20260612_182647_3cd34247.jpg,1,keystrokes/distracted_20260612_182647_3cd34247.json,1,texts/distracted_20260612_182647_3cd34247.txt
distracted_20260612_183036_e039e44a,distracted,1,audio/distracted_20260612_183036_e039e44a.mp3,1,images/distracted_20260612_183036_e039e44a.jpg,1,keystrokes/distracted_20260612_183036_e039e44a.json,1,texts/distracted_20260612_183036_e039e44a.txt
distracted_20260612_183225_53210ca7,distracted,1,audio/distracted_20260612_183225_53210ca7.mp3,1,images/distracted_20260612_183225_53210ca7.jpg,1,keystrokes/distracted_20260612_183225_53210ca7.json,1,texts/distracted_20260612_183225_53210ca7.txt
overloaded_20260612_223559_d6295534,overloaded,1,audio/overloaded_20260612_223559_d6295534.mp3,1,images/overloaded_20260612_223559_d6295534.jpg,1,keystrokes/overloaded_20260612_223559_d6295534.json,1,texts/overloaded_20260612_223559_d6295534.txt
overloaded_20260613_033619_282ca705,overloaded,1,audio/overloaded_20260613_033619_282ca705.mp3,1,images/overloaded_20260613_033619_282ca705.jpg,1,keystrokes/overloaded_20260613_033619_282ca705.json,1,texts/overloaded_20260613_033619_282ca705.txt
overloaded_20260613_034837_ef039e72,overloaded,1,audio/overloaded_20260613_034837_ef039e72.mp3,1,images/overloaded_20260613_034837_ef039e72.jpg,1,keystrokes/overloaded_20260613_034837_ef039e72.json,1,texts/overloaded_20260613_034837_ef039e72.txt
overloaded_20260613_035141_5235db73,overloaded,1,audio/overloaded_20260613_035141_5235db73.mp3,1,images/overloaded_20260613_035141_5235db73.jpg,1,keystrokes/overloaded_20260613_035141_5235db73.json,1,texts/overloaded_20260613_035141_5235db73.txt
overloaded_20260613_035456_84e4a548,overloaded,1,audio/overloaded_20260613_035456_84e4a548.mp3,1,images/overloaded_20260613_035456_84e4a548.jpg,1,keystrokes/overloaded_20260613_035456_84e4a548.json,1,texts/overloaded_20260613_035456_84e4a548.txt
