session_id,behavioural_class
fatigued_20260610_204849_ca81fca6,fatigued
fatigued_20260610_205607_8887b0f9,fatigued
fatigued_20260610_205905_8cfa4763,fatigued
fatigued_20260610_210145_693e819a,fatigued
fatigued_20260610_210404_b81457e0,fatigued
focused_20260611_203335_5f244a13,focused
focused_20260611_203933_8705813b,focused
focused_20260611_204136_cbee82eb,focused
focused_20260611_204247_e04a8459,focused
focused_20260611_204500_f993608f,focused
distracted_20260612_182215_e5cc9805,distracted
distracted_20260612_182451_ec3a7775,distracted
distracted_20260612_182647_3cd34247,distracted
distracted_20260612_183036_e039e44a,distracted
distracted_20260612_183225_53210ca7,distracted
overloaded_20260612_223559_d6295534,overloaded
overloaded_20260613_033619_282ca705,overloaded
overloaded_20260613_034837_ef039e72,overloaded
overloaded_20260613_035141_5235db73,overloaded
overloaded_20260613_035456_84e4a548,overloaded
